name,stars,review_count,price,score,poi,cityname,address,,,,
星巴克,35,72,￥40/人,口味:7.4 环境:7.1 服务:7.4,"{""lat"": 121.455561, ""lng"": 31.248149}",上海市,秣陵路303号69幢一层R1单元,,,,
星巴克,35,29,￥35/人,口味:7.1 环境:7.2 服务:6.9,"{""lat"": 121.35793, ""lng"": 31.22756}",上海市,福泉北路518号9座D102室,,,,
星巴克,35,617,￥34/人,口味:7.4 环境:7.1 服务:7.3,"{""lat"": 121.447532, ""lng"": 31.223442}",上海市,南京西路1601号越洋广场商场B210室,,,,
星巴克,35,142,￥37/人,口味:7.5 环境:7.4 服务:7.2,"{""lat"": 121.45417, ""lng"": 31.228001}",上海市,南京西路1266号恒隆广场1号楼1层,,,,
星巴克,40,108,￥40/人,口味:7.8 环境:8.0 服务:7.6,"{""lat"": 121.42851, ""lng"": 31.23154}",上海市,长寿路999弄达安花园1007号,,,,
星巴克,35,70,￥40/人,口味:7.5 环境:7.6 服务:7.5,"{""lat"": 121.4548, ""lng"": 31.22345}",上海市,延安中路823号,,,,
星巴克,35,149,￥35/人,口味:7.6 环境:7.3 服务:7.0,"{""lat"": 121.4536, ""lng"": 31.244319}",上海市,裕通路100号,,,,
星巴克,40,537,￥37/人,口味:7.8 环境:7.8 服务:7.5,"{""lat"": 121.42737, ""lng"": 31.23055}",上海市,长寿路1118号芳汇广场1层117,,,,
星巴克,35,68,￥34/人,口味:7.4 环境:7.4 服务:7.3,"{""lat"": 121.45525, ""lng"": 31.24429}",上海市,恒丰路399号L101单元,,,,
星巴克,35,27,￥38/人,口味:6.9 环境:7.1 服务:7.1,"{""lat"": 121.44759, ""lng"": 31.223109}",上海市,南京西路1601号越洋广场1楼1I室,,,,
星巴克,35,268,￥39/人,口味:7.3 环境:7.2 服务:7.1,"{""lat"": 121.462517, ""lng"": 31.231056}",上海市,南京西路762号1楼D座,,,,
星巴克,35,198,￥32/人,口味:7.3 环境:6.9 服务:7.2,"{""lat"": 121.400961, ""lng"": 31.201699}",上海市,延安西路2299号,,,,
星巴克臻选,45,574,￥42/人,口味:8.4 环境:8.5 服务:8.3,"{""lat"": 121.437839, ""lng"": 31.204497}",上海市,武康路420号1F,,,,
星巴克,0,195,,,"{""lat"": 121.43778, ""lng"": 31.194983}",上海市,虹桥路1号港汇广场办公楼一座大堂,,,,
星巴克,40,201,￥45/人,口味:8.0 环境:8.2 服务:8.1,"{""lat"": 121.457744, ""lng"": 31.19143}",上海市,枫林路380号102室,,,,
星巴克,40,179,￥36/人,口味:8.3 环境:8.5 服务:8.2,"{""lat"": 121.448975, ""lng"": 31.138023}",上海市,平福路188号3幢第一层101单元,,,,
星巴克,40,205,￥40/人,口味:8.3 环境:8.4 服务:7.8,"{""lat"": 121.423388, ""lng"": 31.177008}",上海市,宜山路675-1单元,,,,
星巴克,40,393,￥42/人,口味:7.8 环境:7.8 服务:7.7,"{""lat"": 121.449932, ""lng"": 31.212329}",上海市,淮海中路1325号瑞力大厦1F-103室,,,,
星巴克,40,238,￥40/人,口味:8.0 环境:8.3 服务:8.3,"{""lat"": 121.432525, ""lng"": 31.199736}",上海市,华山路1954号包兆龙图书馆一层,,,,
星巴克,40,294,￥40/人,口味:8.2 环境:8.0 服务:7.7,"{""lat"": 121.427932, ""lng"": 31.183762}",上海市,"宜山路455号光启城时尚购物中心C区1层183,185室",,,,
