name,stars,review_count,price,score,poi,cityname,address
luckin coffee瑞幸咖啡,40,18,,口味:7.7 环境:7.9 服务:7.8,"{""lat"": 121.382883, ""lng"": 31.2639}",上海市,真如镇绥德路2弄1号一层101A室
luckin coffee瑞幸咖啡,0,0,,,"{""lat"": 121.411259, ""lng"": 31.234031}",上海市,中山北路3323号一层A-1号
luckin coffee瑞幸咖啡,40,92,￥25/人,口味:7.8 环境:8.2 服务:7.7,"{""lat"": 121.377704, ""lng"": 31.231464}",上海市,金沙江路1685号118广场16幢一层BN1-7号
luckin coffee瑞幸咖啡,40,24,￥21/人,口味:8.0 环境:7.8 服务:8.1,"{""lat"": 121.445798, ""lng"": 31.247759}",上海市,澳门路月星家居168号55幢一层A001-1号
luckincoffee瑞幸咖啡,45,127,￥22/人,口味:8.5 环境:8.5 服务:8.6,"{""lat"": 121.412662, ""lng"": 31.232969}",上海市,中山北路3300号上海环球港北门负一层B1273号
luckin coffee瑞幸咖啡,40,32,￥25/人,口味:8.1 环境:7.7 服务:8.0,"{""lat"": 121.418844, ""lng"": 31.24057}",上海市,凯旋北路606号杰地大厦一层底商
luckin coffee瑞幸咖啡,40,14,￥24/人,口味:7.7 环境:7.7 服务:7.8,"{""lat"": 121.388054, ""lng"": 31.222279}",上海市,云岭东路391弄3号长风嘉庭国际一层大堂
luckin coffee瑞幸咖啡,40,37,￥21/人,口味:7.8 环境:7.9 服务:7.8,"{""lat"": 121.39489, ""lng"": 31.222093}",上海市,大渡河路196号长风大悦城负一层12号绿地超市
瑞幸咖啡,0,0,,,"{""lat"": 121.378204, ""lng"": 31.231839}",上海市,118广场
luckin coffee瑞幸咖啡,40,11,,口味:7.6 环境:7.7 服务:7.7,"{""lat"": 121.417716, ""lng"": 31.24660165492296}",上海市,石泉路475号汇泉大厦1层1-03室
瑞幸咖啡,35,14,,口味:7.3 环境:7.3 服务:7.2,"{""lat"": 121.413939, ""lng"": 31.244496}",上海市,武宁路509号电科大厦一层大堂
瑞幸咖啡,40,25,￥20/人,口味:7.8 环境:8.1 服务:8.2,"{""lat"": 121.483939, ""lng"": 31.238119}",上海市,南京东路300号恒基名人广场三层L314号
